name,year,party,wonPrimary,wonGeneral,white,male,whiteMale,RWB,redHex,whiteHex,blueHex,other1Hex,other2Hex,other3Hex,image
Bobby Jindal,2016,Republican,N,N,N,Y,FALSE,Y,#D13338,#ffffff,#466AAA,#c1c1c1,#2D3B54,,2016-jindal.jpg
Donald Trump,2016,Republican,Y,Y,Y,Y,TRUE,Y,#8a171c,#ffffff,#283681,,,,2016-trump.jpg
Jeb Bush,2016,Republican,N,N,Y,Y,TRUE,Y,#C81D24,#ffffff,#0B548A,,,,2016-bush.jpg
Hillary Clinton,2016,Democratic,Y,N,Y,N,FALSE,Y,#E70022,#ffffff,#004DA4,,,,2016-clinton.jpg
Rick Perry,2016,Republican,N,N,Y,Y,TRUE,Y,#c42027,#ffffff,#23245c,#1867a2,#29b7e5,,2016-perry.jpg
Lincoln Chafee,2016,Democratic,N,N,Y,Y,TRUE,Y,#9E1C30,#ffffff,#0B3B61,#3D893F,,,2016-chafee.jpg
Lindsay Graham,2016,Republican,N,N,Y,Y,TRUE,Y,#D32027,#ffffff,#272462,,,,2016-graham.jpg
George Pataki,2016,Republican,N,N,Y,Y,TRUE,Y,#E11F26,#ffffff,#242055,#447DB1,,,2016-pataki.jpg
Martin O'Malley,2016,Democratic,N,N,Y,Y,TRUE,Y,#FF3333,#ffffff,#0499CC,,,,2016-omalley.jpg
Bernie Sanders,2016,Democratic,N,N,Y,Y,TRUE,Y,#f40634,#ffffff,#005f92,,,,2016-sanders.jpg
Rick Santorum,2016,Republican,N,N,Y,Y,TRUE,Y,#EC0541,#ffffff,#0E244A,,,,2016-santorum.jpg
Ben Carson,2016,Republican,N,N,N,Y,FALSE,Y,#d06041,#ffffff,#313b3b,#d0b268,#944a37,#336fa5,2016-carson.jpg
Mike Huckabee,2016,Republican,N,N,Y,Y,TRUE,Y,#D32B2E,#ffffff,#014E86,#F4BE28,,,2016-huckabee.jpg
Carly Fiorina,2016,Republican,N,N,Y,N,FALSE,Y,#D63232,#ffffff,"#1C263F,",#A7A8AC,,,2016-fiorina.jpg
Rand Paul,2016,Republican,N,N,Y,Y,TRUE,Y,#CC1A23,#ffffff,#07072D,,,,2016-paul.jpg
Marco Rubio,2016,Republican,N,N,N,Y,FALSE,Y,#C60F3B,#ffffff,#101D41,,,,2016-rubio.jpg
Ted Cruz,2016,Republican,N,N,N,Y,FALSE,Y,#ED1A40,#ffffff,#005C94,#6D6E71,,,2016-cruz.jpg
Lawrence Lessig,2016,Democratic,N,N,Y,Y,TRUE,Y,#ff4945,#ffffff,#3551eb,,,,2016-lessig.jpg
Gary Johnson,2016,Libertarian,Y,N,Y,Y,TRUE,N,,#ffffff,#0a0c45,#ffd446,#96989a,,2016-johnson.jpg
Jill Stein,2016,Green,Y,N,Y,N,FALSE,N,,#ffffff,,#18563e,#ff9a00,,2016-stein.jpg
Darrell Castle,2016,Constitution,Y,N,Y,Y,TRUE,Y,#b3252e,#ffffff,#29274f,#eeeabd,,,2016-castle.jpg
Evan McMullin,2016,Independent,Y,N,Y,Y,TRUE,Y,#c9121e,#ffffff,#004c6c,#6694a7,,,2016-mcmullin.jpg
Mitt Romney,2012,Republican,Y,N,Y,Y,TRUE,Y,#A81933,#ffffff,#005294,,,,2012-romney.jpg
Barack Obama,2012,Democratic,Y,Y,N,Y,FALSE,Y,#CD0000,#ffffff,#0070A1,,,,2012-obama.jpg
Rick Perry,2012,Republican,N,N,Y,Y,TRUE,Y,#A32022,#ffffff,#11326D,,,,2012-perry.jpg
Thaddeus McCotter,2012,Republican,N,N,Y,Y,TRUE,Y,#FB534A,#ffffff,#2A4560,,,,2012-mccotter.jpg
Jon Huntsman,2012,Republican,N,N,Y,Y,TRUE,Y,#AD151D,#ffffff,,,,,2012-huntsman.jpg
Michele Bachmann,2012,Republican,N,N,Y,N,FALSE,Y,#911E26,#ffffff,#1A2575,,,,2012-bachmann.jpg
Rick Santorum,2012,Republican,N,N,Y,Y,TRUE,Y,#DA232B,#ffffff,#142D38,#818384,,,2012-santorum.jpg
Tim Pawlenty,2012,Republican,N,N,Y,Y,TRUE,Y,#B51A1F,#ffffff,#1B2140,,,,2012-pawlenty.jpg
Herman Cain,2012,Republican,N,N,N,Y,FALSE,Y,#EF252E,#ffffff,#172233,,,,2012-cain.jpg
Ron Paul,2012,Republican,N,N,Y,Y,TRUE,Y,#CC2B34,#ffffff,#003159,#0293CA,,,2012-paul.jpg
Newt Gingrich,2012,Republican,N,N,Y,Y,TRUE,Y,#E00001,#ffffff,#14263F,#A7AEB8,,,2012-gingrich.jpg
Gary Johnson,2012,Libertarian,Y,N,Y,Y,TRUE,Y,,#ffffff,#006eba,#0b499e,,,2012-johnson.jpg
Buddy Roemer,2012,Republican,N,N,Y,Y,TRUE,Y,#F22721,#ffffff,#6EACE3,#000000,,,2012-roemer.jpg
Fred Karger,2012,Republican,N,N,Y,Y,TRUE,Y,#ab1125,#ffffff,#063868,,,,2012-karger.jpg
Jill Stein,2012,Green,Y,N,Y,N,FALSE,N,,#ffffff,,#00a261,,,2012-stein.jpg
Virgil Goode,2012,Constitution,Y,N,Y,Y,TRUE,Y,,#ffffff,#0e0789,,,,2012-goode.jpg
Rocky Anderson,2012,Justice,Y,N,Y,Y,TRUE,Y,#cf1314,#ffffff,#091d38,,,,2012-anderson.jpg
Barack Obama,2008,Democratic,Y,Y,N,Y,FALSE,Y,#CE2324,#ffffff,#007DC4,#01255A,,,2008-obama.jpg
Bill Richardson,2008,Democratic,N,N,Y,Y,TRUE,Y,#C5112E,#ffffff,#0E0250,,,,2008-richardson.jpg
Sam Brownback,2008,Republican,N,N,Y,Y,TRUE,Y,#DE1B2C,#ffffff,#04129b,,,,2008-brownback.jpg
Chris Dodd,2008,Democratic,N,N,Y,Y,TRUE,Y,#f23342,#ffffff,#12184f,,,,2008-dodd.jpg
Fred Thompson,2008,Republican,N,N,Y,Y,TRUE,N,,#ffffff,,#2F1B51,#CFAD6A,,2008-thompson.jpg
Jim Gilmore,2008,Republican,N,N,Y,Y,TRUE,Y,#e92b31,#ffffff,#0d0e71,,,,2008-gilmore.jpg
Hillary Clinton,2008,Democratic,N,N,Y,N,FALSE,Y,#ee3126,#ffffff,#05549c,,,,2008-clinton.jpg
Mike Huckabee,2008,Republican,N,N,Y,Y,TRUE,Y,#c80000,#ffffff,#00008d,#ffeb00,,,2008-huckabee.jpg
Duncan Hunter,2008,Republican,N,N,Y,Y,TRUE,Y,#D5191F,#ffffff,#01458C,,,,2008-hunter.jpg
Joe Biden,2008,Democratic,N,N,Y,Y,TRUE,Y,#BE1A20,#ffffff,#242471,,,,2008-biden.jpg
John Edwards,2008,Democratic,N,N,Y,Y,TRUE,Y,#C42154,#ffffff,#0D74B3,#3EB56F,,,2008-edwards.jpg
Dennis Kucinich,2008,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,#19306C,#EE5332,,,2008-kuchnich.jpg
John McCain,2008,Republican,Y,N,Y,Y,TRUE,Y,#9C0000,#ffffff,#132F49,#D19408,,,2008-mccain.jpg
Mitt Romney,2008,Republican,N,N,Y,Y,TRUE,Y,#ca0709,#ffffff,#000054,,,,2008-romney.jpg
Ron Paul,2008,Republican,N,N,Y,Y,TRUE,Y,#ff0000,#ffffff,#222266,,,,2008-paul.jpg
Rudy Giuliani,2008,Republican,N,N,Y,Y,TRUE,Y,#e51837,#ffffff,#013668,,,,2008-giuliani.jpg
Tom Tancredo,2008,Republican,N,N,Y,Y,TRUE,Y,#e10000,#ffffff,#000060,,,,2008-tancredo.jpg
Tommy Thompson,2008,Republican,N,N,Y,Y,TRUE,Y,#c60813,#ffffff,#03193c,,,,2008-tthompson.jpg
Tom Vilsack,2008,Democratic,N,N,Y,Y,TRUE,Y,#CC0000,#ffffff,#001032,,,,2008-vilsack.jpg
Mike Gravel,2008,Democratic,N,N,Y,Y,TRUE,Y,#9d282a,#ffffff,#051262,,,,2008-gravel.jpg
Evan Bayh,2008,Democratic,N,N,Y,Y,TRUE,Y,#d83c0c,#ffffff,#28137c,,,,2008-bayh.jgg
Alan Keyes,2008,Republican,N,N,N,Y,FALSE,Y,#c81f0a,#ffffff,#243b7f,,,,2008-keyes.jpg
Ralph Nader,2008,Independent,Y,N,Y,Y,TRUE,N,#ba2025,#ffffff,,#000000,,,2008-nader.jpg
Bob Barr,2008,Libertarian,Y,N,Y,Y,TRUE,Y,#e52d26,#ffffff,#225e9b,,,,2008-barr.jpg
Chuck Baldwin,2008,Constitution,Y,N,Y,Y,TRUE,Y,#dc1142,#ffffff,#004e8c,#6b648b,,,2008-baldwin.jpg
Al Sharpton,2004,Democratic,N,N,N,Y,FALSE,Y,#FF0000,#ffffff,,,,,2004-sharpton.jpg
Bob Graham,2004,Democratic,N,N,Y,Y,TRUE,Y,#d43236,#ffffff,#0e2668,#000000,,,2004-graham.jpg
George W. Bush,2004,Republican,Y,Y,Y,Y,TRUE,Y,#C80000,#ffffff,#00005C,,,,2004-bush.jpg
Carol Moseley Braun,2004,Democratic,N,N,N,N,FALSE,Y,#DB1742,#ffffff,#001FE8,,,,2004-moseleybraun.jpg
Dennis Kucinich,2004,Democratic,N,N,Y,Y,TRUE,Y,#E33A39,#ffffff,#1616A7,,,,2004-kucinich.jpg
Dick Gephardt,2004,Democratic,N,N,Y,Y,TRUE,Y,#DC0000,#ffffff,#00003C,,,,2004-gephardt.jpg
Howard Dean,2004,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,#005093,#E8CF20,,,2004-dean.jpg
Joe Lieberman,2004,Democratic,N,N,Y,Y,TRUE,Y,#F40200,#ffffff,#00018B,,,,2004-lieberman.jpg
John Edwards,2004,Democratic,N,N,Y,Y,TRUE,Y,#CA001C,#ffffff,#014184,,,,2004-edwards.jpg
John Kerry,2004,Democratic,Y,N,Y,Y,TRUE,Y,#E10001,#ffffff,#161588,,,,2004-kerry.jpg
Wesley Clark,2004,Democratic,N,N,Y,Y,TRUE,Y,#EE2F32,#ffffff,#002FA0,,,,2004-clark.jpg
Michael Badnarik,2004,Libertarian,Y,N,Y,Y,TRUE,Y,#ee1c25,#ffffff,#125888,#000000,#6c6d71,,2004-badnarik.jpg
David Cobb,2004,Green,Y,N,Y,Y,TRUE,N,,#ffffff,,#00853f,,,2004-cobb.jpg
Ralph Nader,2004,Independent,Y,N,Y,Y,TRUE,N,,#ffffff,,#006531,#55A063,,2004-nader.jpg
Michael Peroutka,2004,Constitution,Y,N,N,N,TRUE,Y,#ed1251,#ffffff,#393e8a,#000000,,,2004-peroutka.jpg
Ralph Nader,2000,Green,Y,N,Y,Y,TRUE,N,,#ffffff,,#006531,#55A063,,2000-nader.jpg
John McCain,2000,Republican,N,N,Y,Y,TRUE,Y,#D50606,#ffffff,#000065,,,,2000-mccain.jpg
Pat Buchanan,2000,Reform,N,N,Y,Y,TRUE,Y,#E32A3A,#ffffff,#004C84,,,,2000-buchanan.jpg
Bill Bradley,2000,Democratic,N,N,Y,Y,TRUE,Y,#D20000,#ffffff,#000078,,,,2000-bradley.jpg
Alan Keyes,2000,Republican,N,N,N,Y,FALSE,Y,#DA0001,#ffffff,#00007B,,,,2000-keyes.jpg
Al Gore,2000,Democratic,Y,N,Y,Y,TRUE,Y,#CA0003,#ffffff,#000377,,,,2000-gore.jpg
George W. Bush,2000,Republican,Y,N,Y,Y,TRUE,Y,#E04743,#ffffff,#101745,,,,2000-bush.jpg
Gary Bauer,2000,Republican,N,N,Y,Y,TRUE,Y,#EC0000,#ffffff,#000187,,,,2000-bauer.jpg
Dan Quayle,2000,Republican,N,N,Y,Y,TRUE,Y,#DD0000,#ffffff,#000075,,,,2000-quayle.jpg
Elizabeth Dole,2000,Republican,N,N,Y,N,FALSE,N,,#ffffff,#000074,#56DAFA,,,2000-dole.jpg
Steve Forbes,2000,Republican,N,N,Y,Y,TRUE,Y,#960000,#ffffff,#000396,,,,2000-forbes.jpg
Lamar Alexander,2000,Republican,N,N,Y,Y,TRUE,N,#DB0506,#ffffff,,#000000,,,2000-alexander.jpg
John Kasich,2000,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#152f85,,,,2000-kasich.jpg
Bob Smith,2000,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#040C56,,,,2000-smith.jpg
Orrin Hatch,2000,Republican,N,N,Y,Y,TRUE,Y,#e90235,#ffffff,#0000c9,,,,2000-hatch.jpg
Harry Browne,2000,Libertarian,Y,N,Y,Y,TRUE,Y,#960603,#ffffff,#070068,#fef17d,,,2000-browne.jpg
Steve Forbes,1996,Republican,N,N,Y,Y,TRUE,N,,#ffffff,#453AE8,#F8F829,,,1996-forbes.jpg
Richard Lugar,1996,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#082A63,#FFCD00,,,1996-lugar.jpg
Bob Dornan,1996,Republican,N,N,Y,Y,TRUE,Y,#D00000,#ffffff,#010151,,,,1996-dornan.jpg
Bob Dole,1996,Republican,Y,N,Y,Y,TRUE,Y,#ea1c1c,#ffffff,#122b82,,,,1996-dole.jpg
Arlen Specter,1996,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#000072,,,,1996-spector.jpg
Alan Keyes,1996,Republican,N,N,N,Y,FALSE,N,,#ffffff,#000065,#FEF500,,,1996-keyes.jpg
Pat Buchanan,1996,Republican,N,N,Y,Y,TRUE,Y,#E30100,#ffffff,#00005C,,,,1996-buchanan.jpg
Lamar Alexander,1996,Republican,N,N,Y,Y,TRUE,Y,#DC0404,#ffffff,,,,,1996-alexander.jpg
Phil Gramm,1996,Republican,N,N,Y,Y,TRUE,N,,#ffffff,#0D1237,#7B88A7,,,1996-gramm.jpg
Morry Taylor,1996,Republican,N,N,Y,Y,TRUE,Y,#DB0101,#ffffff,#010278,,,,1996-taylor.jpg
Bill Clinton,1996,Democratic,Y,Y,Y,Y,TRUE,Y,#D70505,#ffffff,#14146F,#CCCCCC,,,1996-clinton.jpg
Ross Perot,1996,Reform,Y,N,Y,Y,TRUE,Y,#DF412C,#ffffff,#002A9D,,,,1996-perot.jpg
Pete Wilson,1996,Republican,N,N,Y,Y,TRUE,Y,#d50915,#ffffff,#010864,,,,1996-wilson.jpg
Harry Browne,1996,Libertarian,Y,N,Y,Y,TRUE,N,#b62a1f,#ffffff,,#000000,,,1996-browne.jpg
John Hagelin,1996,Natural Law,Y,N,Y,Y,TRUE,Y,#d53833,#ffffff,#334584,,,,1996-hagelin.jpg
Howard Phillips,1996,U.S. Taxpayers,Y,N,Y,Y,TRUE,Y,,#ffffff,#42468e,,,,1996-phillips.jpg
Jerry Brown,1992,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#042E66,,,,1992-brown.jpg
Pat Buchanan,1992,Republican,N,N,Y,Y,TRUE,Y,#E30100,#ffffff,#00005C,,,,1992-buchanan.jpg
George H.W. Bush,1992,Republican,Y,N,Y,Y,TRUE,Y,#E10001,#ffffff,#011683,,,,1992-bush.jpg
Bill Clinton,1992,Democratic,Y,Y,Y,Y,TRUE,Y,#F20000,#ffffff,#04058D,,,,1992-clinton.jpg
Bob Kerrey,1992,Democratic,N,N,Y,Y,TRUE,Y,#EC0000,#ffffff,#000187,#000000,,,1992-kerrey.jpg
Paul Tsongas,1992,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,#070544,#088D33,,,1992-tsongas.jpg
L. Douglas Wilder,1992,Democratic,N,N,Y,Y,TRUE,Y,#BD0400,#ffffff,#03047B,,,,1992-wilder.jpg
Tom Harkin,1992,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#0E0F47,,,,1992-harkin.jpg
David Duke,1992,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#022d6d,,,,1992-duke.jpg
Ross Perot,1992,Independent,Y,N,Y,Y,TRUE,Y,#e60000,#ffffff,#00008e,,,,1992-perot.jpg
Howard Phillips,1992,U.S. Taxpayers,Y,N,Y,Y,TRUE,Y,,#ffffff,#092aab,,,,1992-phillips.jpg
Bo Gritz,1992,Populist,Y,N,Y,Y,TRUE,Y,#af1711,#ffffff,#1243cd,,,,1992-gritz.jpg
Ron Daniels,1992,Independent,N,N,N,N,FALSE,N,#ff0000,#ffffff,,#000000,,,1992-daniels.jpg
Bob Dole,1988,Republican,N,N,Y,Y,TRUE,N,,,#000187,#FCDC00,,,1988-dole.jpg
George H.W. Bush,1988,Republican,Y,Y,Y,Y,TRUE,Y,#cd0000,#ffffff,#00008c,,,,1988-bush.jpg
Jesse Jackson,1988,Democratic,N,N,N,Y,FALSE,Y,#bb0000,#ffffff,,,,,1988-jackson.jpg
Paul Simon,1988,Democratic,N,N,Y,Y,TRUE,Y,#CC4331,#ffffff,#003582,,,,1988-simon.jpg
Joe Biden,1988,Democratic,N,N,Y,Y,TRUE,Y,#C0463E,#ffffff,#133F91,,,,1988-biden.jpg
Mike Dukakis,1988,Democratic,Y,N,Y,Y,TRUE,Y,#DA422D,#ffffff,#002383,,,,1988-dukakis.jpg
Gary Hart,1988,Democratic,N,N,Y,Y,TRUE,Y,#D83D2E,#ffffff,#011762,,,,1988-hart.jpg
Al Gore,1988,Democratic,N,N,Y,Y,TRUE,Y,#E74E3F,#ffffff,#122C88,,,,1988-gore.jpg
Jack Kemp,1988,Republican,N,N,Y,Y,TRUE,Y,#E5422A,#ffffff,#10508C,,,,1988-kemp.jpg
Dick Gephardt,1988,Democratic,N,N,Y,Y,TRUE,Y,#BC5643,#ffffff,#173878,#000000,,,1988-gephardt.jpg
Bruce Babbitt,1988,Democratic,N,N,Y,Y,TRUE,Y,#C23825,#ffffff,#022286,,,,1988-babbitt.jpg
Alexander M. Haig Jr.,1988,Republican,N,N,Y,Y,TRUE,Y,#DB422B,#ffffff,#002793,,,,1988-haig.jpg
Pete du Pont,1988,Republican,N,N,Y,Y,TRUE,N,#E05845,#ffffff,,#9A9A9A,,,1988-dupont.jpg
Pat Robertson,1988,Republican,N,N,Y,Y,TRUE,Y,#CF3D28,#ffffff,#042083,,,,1988-robertson.jpg
James Traficant,1988,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,,#1d943d,,,1988-traficant.jpg
Ron Paul,1988,Libertarian,Y,N,Y,Y,TRUE,Y,#fa312a,#ffffff,#2029b5,,,,1988-paul.jpg
David Duke,1988,Populist,Y,N,Y,Y,TRUE,Y,,#ffffff,#487eb9,,,,1988-duke.jpg
Alan Cranston,1984,Democratic,N,N,Y,Y,TRUE,Y,#783231,#ffffff,,,,,1984-cranston.jpg
Gary Hart,1984,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,#00369C,#B3B3B3,,,1984-hart.jpg
Walter Mondale,1984,Democratic,Y,N,Y,Y,TRUE,Y,,#ffffff,#061966,,,,1984-mondale.jpg
John Glenn,1984,Democratic,N,N,Y,Y,TRUE,Y,#CD0000,#ffffff,#00006A,,,,1984-glenn.jpg
George McGovern,1984,Democratic,N,N,Y,Y,TRUE,Y,#EC4530,#ffffff,,,,,1984-mcgovern.jpg
Reubin Askew,1984,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,,#E44F25,#3C271D,,1984-askew.jpg
Jesse Jackson,1984,Democratic,N,N,N,Y,FALSE,Y,#D20000,#ffffff,#0A0C64,#FFD700,,,1984-jackson.jpg
Fritz Hollings,1984,Democratic,N,N,Y,Y,TRUE,Y,#CF4C43,#ffffff,#00338E,,,,1984-hollings.jpg
Ronald Reagan,1984,Republican,Y,Y,Y,Y,TRUE,Y,#D31819,#ffffff,#2C418B,,,,1984-reagan.jpg
David Bergland,1984,Libertarian,Y,N,Y,Y,TRUE,N,,#ffffff,,#000000,,,1984-bergland.jpg
Sonia Johnson,1984,Citizens Party,Y,N,Y,N,FALSE,N,,#ffffff,,#004522,,,1984-johnson.jpg
Gus Hall,1984,Communist Party USA,Y,N,Y,Y,TRUE,N,#e43231,#ffffff,,#000000,,,1984-hall.jpg
Phil Crane,1980,Republican,N,N,Y,Y,TRUE,N,,,,#F4C819,#000000,,1980-crane.jpg
Bob Dole,1980,Republican,N,N,Y,Y,TRUE,Y,#ED462E,#ffffff,#1432B5,,,,1980-dole.jpg
Howard Baker,1980,Republican,N,N,Y,Y,TRUE,Y,#D30000,#ffffff,#000197,,,,1980-baker.jpg
Ted Kennedy,1980,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#000072,,,,1980-kennedy.jpg
Ronald Reagan,1980,Republican,Y,Y,Y,Y,TRUE,Y,,#ffffff,#0C1E78,,,,1980-reagan.jpg
John B. Anderson,1980,Independent,Y,N,Y,Y,TRUE,N,#D41514,#ffffff,,#000000,,,1980-anderson.jpg
John Connally,1980,Republican,N,N,Y,Y,TRUE,N,#F12A18,#ffffff,,#000000,,,1980-connally.jpg
George H. W. Bush,1980,Republican,N,N,Y,Y,TRUE,Y,#CD4332,#ffffff,#001F8E,#000000,,,1980-bush.jpg
Jimmy Carter,1980,Democratic,Y,N,Y,Y,TRUE,N,,#ffffff,,#1F7D52,,,1980-carter.jpg
Lowell P. Weicker Jr.,1980,Republican,N,N,Y,Y,TRUE,Y,#f8291a,#ffffff,#2574c0,,,,1980-weicker.jpg
Harold Stassen,1980,Republican,N,N,Y,Y,TRUE,Y,#ef3b3e,#ffffff,,,,,1980-stassen.jpg
Ben Fernandez,1980,Republican,N,N,N,Y,TRUE,Y,,#ffffff,#304279,,,,1980-hernandez.jpg
Jerry Brown,1980,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#2c3ea7,,,,1980-brown.jpg
Ed Clark,1980,Libertarian,Y,N,Y,Y,TRUE,N,,#ffffff,,#20ad47,#000000,,1980-clark.jpg
David McReynolds,1980,Socialist,Y,N,Y,Y,TRUE,N,#f6070c,,,#000000,,,1980-mcreynolds.jpg
Barry Commoner,1980,Citizens,Y,N,Y,Y,TRUE,Y,#f3393d,#ffffff,#364d92,,,,1980-commoner.jpg
Gus Hall,1980,Communist Party USA,Y,N,Y,Y,TRUE,N,#ff0602,#ffffff,,#000000,,,1980-hall.jpg
Joe Walsh,1980,Independent,Y,N,Y,Y,TRUE,Y,#ff363e,#ffffff,#210ff1,,,,1980-walsh.jpg
Eugene J. McCarthy,1976,Independent,Y,N,Y,Y,TRUE,Y,,#ffffff,#1A43B9,,,,1976-mccarthy.jpg
