name,year,party,wonPrimary,wonGeneral,white,male,whiteMale,RWB,redHex,whiteHex,blueHex,other1Hex,other2Hex,other3Hex,image
John Delaney,2020,Democratic,,,Y,Y,TRUE,Y,#ee283b,#ffffff,#004e7c,#84b8e3,,,2020-delaney.jpg
Richard Ojeda,2020,Democratic,,,Y,Y,TRUE,Y,#cd2227,#ffffff,#084d8F,#000000,,,2020-ojeda.jpg
Andrew Yang,2020,Democratic,,,N,Y,FALSE,Y,#da3248,#ffffff,#133467,#59a2d9,,,2020-yang.jpg
Julián Castro,2020,Democratic,,,N,Y,FALSE,N,,#ffffff,#000033,#0093e7,,,2020-castro.jpg
Marianne Williamson,2020,Democratic,,,Y,N,FALSE,N,,#ffffff,,#191842,#ed7b9d,,2020-williamson.jpg
Kamala Harris,2020,Democratic,,,N,N,FALSE,N,,,,#f44e4e,#fedb7c,#392d8b,2020-harris.jpg
Elizabeth Warren,2020,Democratic,,,Y,N,FALSE,N,#b61b28,,#232444,#e3f4ec,,,2020-warren.jpg
Tulsi Gabbard,2020,Democratic,,,N,N,FALSE,N,#ee3831,,#0c2340,#f19839,#a6adbe,,2020-gabbard.jpg
Jay Inslee,2020,Democratic,,,Y,Y,TRUE,Y,#ec0a22,#ffffff,#00304b,#006f4c,#397e90,,2020-inslee.jpg
Amy Klobuchar,2020,Democratic,,,Y,N,FALSE,N,,,#003369,#0d9d47,#fcfff5,,2020-klobuchar.jpg
John Hickenlooper,2020,Democratic,,,Y,Y,TRUE,N,,#ffffff,#03a9eb,#472081,,,2020-hickenlooper.jpg
Bernie Sanders,2020,Democratic,,,Y,Y,TRUE,Y,#f40634,#ffffff,#005f92,,,,2020-sanders.jpg
Kirsten Gillibrand,2020,Democratic,,,Y,N,FALSE,N,,#ffffff,#0A2549,#fd256C,,,2020-gillibrand.jpg
Wayne Messam,2020,Democratic,,,N,Y,FALSE,Y,#bc2617,#ffffff,#0178b0,,,,2020-messam.jpg
Tim Ryan,2020,Democratic,,,Y,Y,TRUE,Y,#cc202e,#ffffff,#2896d2,,,,2020-ryan.jpg
Beto O'Rourke,2020,Democratic,,,Y,Y,TRUE,N,,#ffffff,,#010101,,,2020-orourke.jpg
Pete Buttigieg,2020,Democratic,,,Y,Y,TRUE,N,,,#004c82,#f4bb31,#f2e4d5,,2020-buttigieg.jpg
Cory Booker,2020,Democratic,,,N,Y,FALSE,Y,#e0373e,#ffffff,#00a4fe,#020001,,,2020-booker.jpg
Bill Weld,2020,Republican,,,Y,Y,TRUE,Y,#c00000,#ffffff,#002060,,,,2020-weld.jpg
Eric Swalwell,2020,Democratic,,,Y,Y,TRUE,Y,#ff0000,#ffffff,#006fd2,,,,2020-swalwell.jpg
Michael Bennet,2020,Democratic,,,Y,Y,TRUE,Y,#ff5e5e,#ffffff,#243c7f,,,,2020-bennet.jpg
Seth Moulton,2020,Democratic,,,Y,Y,TRUE,Y,#d62043,#ffffff,#14293f,#00a2c6,,,2020-moulton.jpg
Bill de Blasio,2020,Democratic,,,Y,Y,TRUE,N,,#ffffff,#204181,#8dc63f,,,2020-deblasio.jpg
Steve Bullock,2020,Democratic,,,Y,Y,TRUE,Y,#ea3038,#ffffff,#04476a,#236db6,,,2020-bullock.jpg
Donald Trump,2020,Republican,,,Y,Y,TRUE,Y,#da1333,#ffffff,#2b325f,,,,2020-trump.jpg
Joe Biden,2020,Democratic,,,Y,Y,TRUE,Y,#eb2027,#ffffff,#224292,,,,2020-biden.jpg
Tom Steyer,2020,Democratic,,,Y,Y,TRUE,N,,#ffffff,#1322a8,#f26925,,,2020-steyer.jpg
Joe Sestak,2020,Democratic,,,Y,Y,TRUE,Y,#e51e04,#ffffff,#001e6a,,,,2020-sestak.jpg
Mike Bloomberg,2020,Democratic,,,Y,Y,TRUE,Y,#ca1e38,#ffffff,#1c355e,#039ee0,,,2020-bloomberg.jpg
Deval Patrick,2020,Democratic,,,N,Y,FALSE,N,,#ffffff,#1a6794,#61a544,,,2020-patrick.jpg
Joe Walsh,2020,Republican,,,Y,Y,TRUE,N,#863d3f,#ffffff,,#843e3e,,,2020-walsh.jpg
Rocky De La Fuente,2020,Republican,,,N,Y,FALSE,Y,#ff0d2a,#ffffff,#0e2c5c,,,,2020-delafuente.jpg
Mark Sanford,2020,Republican,,,Y,Y,TRUE,Y,#e22625,#ffffff,#14315a,,,,2020-sanford.jpg
Mike Gravel,2020,Democratic,,,Y,Y,TRUE,Y,#fe4146,#ffffff,#001938,,,,2020-gravel.jpg
Jacob Hornberger,2020,Libertarian,,,Y,Y,TRUE,N,,#ffffff,#323465,#ebbe3d,,,2020-hornberger.jpg
Jo Jorgensen,2020,Libertarian,,,Y,N,FALSE,N,,#ffffff,,#4e0189,#ffc000,#000000,2020-jorgensen.jpg
Vermin Supreme,2020,Libertarian,,,Y,Y,TRUE,N,,#ffffff,,#000000,,,2020-supreme.jpg
Jim Gilmore,2016,Republican,N,N,Y,Y,TRUE,Y,#a20001,#ffffff,#182f66,,,,2016-gilmore.jpg
John Kasich,2016,Republican,N,N,Y,Y,TRUE,Y,#ED0C2E,#ffffff,#002F57,,,,2016-kasich.jpg
Jim Webb,2016,Democratic,N,N,Y,Y,TRUE,Y,#EF4023,#ffffff,#012254,,,,2016-webb.jpg
Scott Walker,2016,Republican,N,N,Y,Y,TRUE,Y,#E32025,#ffffff,#1A3D6C,,,,2016-walker.jpg
Chris Christie,2016,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#091846,,,,2016-christie.jpg
