name,year,party,wonPrimary,wonGeneral,white,male,whiteMale,RWB,redHex,whiteHex,blueHex,other1Hex,other2Hex,other3Hex
John Delaney,2020,Democratic,N,,Y,Y,TRUE,Y,#ee283b,#ffffff,#004e7c,#84b8e3,,
Richard Ojeda,2020,Democratic,N,,Y,Y,TRUE,Y,#cd2227,#ffffff,#084d8F,#000000,,
Andrew Yang,2020,Democratic,N,,N,Y,FALSE,Y,#da3248,#ffffff,#133467,#59a2d9,,
Julián Castro,2020,Democratic,N,,N,Y,FALSE,N,,#ffffff,#000033,#0093e7,,
Marianne Williamson,2020,Democratic,N,,Y,N,FALSE,N,,#ffffff,,#191842,#ed7b9d,
Kamala Harris,2020,Democratic,N,,N,N,FALSE,N,,,,#f44e4e,#fedb7c,#392d8b
Elizabeth Warren,2020,Democratic,N,,Y,N,FALSE,N,#b61b28,,#232444,#e3f4ec,,
Tulsi Gabbard,2020,Democratic,N,,N,N,FALSE,N,#ee3831,,#0c2340,#f19839,#a6adbe,
Jay Inslee,2020,Democratic,N,,Y,Y,TRUE,Y,#ec0a22,#ffffff,#00304b,#006f4c,#397e90,
Amy Klobuchar,2020,Democratic,N,,Y,N,FALSE,N,,,#003369,#0d9d47,#fcfff5,
John Hickenlooper,2020,Democratic,N,,Y,Y,TRUE,N,,#ffffff,#03a9eb,#472081,,
Bernie Sanders,2020,Democratic,N,,Y,Y,TRUE,Y,#f40634,#ffffff,#005f92,,,
Kirsten Gillibrand,2020,Democratic,N,,Y,N,FALSE,N,,#ffffff,#0A2549,#fd256C,,
Wayne Messam,2020,Democratic,N,,N,Y,FALSE,Y,#bc2617,#ffffff,#0178b0,,,
Tim Ryan,2020,Democratic,N,,Y,Y,TRUE,Y,#cc202e,#ffffff,#2896d2,,,
Beto O'Rourke,2020,Democratic,N,,Y,Y,TRUE,N,,#ffffff,,#010101,,
Pete Buttigieg,2020,Democratic,N,,Y,Y,TRUE,N,,,#004c82,#f4bb31,#f2e4d5,
Cory Booker,2020,Democratic,N,,N,Y,FALSE,Y,#e0373e,#ffffff,#00a4fe,#020001,,
Bill Weld,2020,Republican,N,,Y,Y,TRUE,Y,#c00000,#ffffff,#002060,,,
Eric Swalwell,2020,Democratic,N,,Y,Y,TRUE,Y,#ff0000,#ffffff,#006fd2,,,
Michael Bennet,2020,Democratic,N,,Y,Y,TRUE,Y,#ff5e5e,#ffffff,#243c7f,,,
Seth Moulton,2020,Democratic,N,,Y,Y,TRUE,Y,#d62043,#ffffff,#14293f,#00a2c6,,
Bill de Blasio,2020,Democratic,N,,Y,Y,TRUE,N,,#ffffff,#204181,#8dc63f,,
Steve Bullock,2020,Democratic,N,,Y,Y,TRUE,Y,#ea3038,#ffffff,#04476a,#236db6,,
Donald Trump,2020,Republican,Y,,Y,Y,TRUE,Y,#da1333,#ffffff,#2b325f,,,
Joe Biden,2020,Democratic,Y,,Y,Y,TRUE,Y,#eb2027,#ffffff,#224292,,,
Tom Steyer,2020,Democratic,N,,Y,Y,TRUE,N,,#ffffff,#1322a8,#f26925,,
Joe Sestak,2020,Democratic,N,,Y,Y,TRUE,Y,#e51e04,#ffffff,#001e6a,,,
Mike Bloomberg,2020,Democratic,N,,Y,Y,TRUE,Y,#ca1e38,#ffffff,#1c355e,#039ee0,,
Deval Patrick,2020,Democratic,N,,N,Y,FALSE,N,,#ffffff,#1a6794,#61a544,,
Jim Gilmore,2016,Republican,N,N,Y,Y,TRUE,Y,#a20001,#ffffff,#182f66,,,
John Kasich,2016,Republican,N,N,Y,Y,TRUE,Y,#ED0C2E,#ffffff,#002F57,,,
Jim Webb,2016,Democratic,N,N,Y,Y,TRUE,Y,#EF4023,#ffffff,#012254,,,
Scott Walker,2016,Republican,N,N,Y,Y,TRUE,Y,#E32025,#ffffff,#1A3D6C,,,
Chris Christie,2016,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#091846,,,
Bobby Jindal,2016,Republican,N,N,N,Y,FALSE,Y,#D13338,#ffffff,#466AAA,#c1c1c1,#2D3B54,
Donald Trump,2016,Republican,Y,Y,Y,Y,TRUE,Y,,#ffffff,#1B0634,,,
Jeb Bush,2016,Republican,N,N,Y,Y,TRUE,Y,#C81D24,#ffffff,#0B548A,,,
Hillary Clinton,2016,Democratic,Y,N,Y,N,FALSE,Y,#E70022,#ffffff,#004DA4,,,
Rick Perry,2016,Republican,N,N,Y,Y,TRUE,Y,#C52128,#ffffff,#24255C,,,
Lincoln Chafee,2016,Democratic,N,N,Y,Y,TRUE,Y,#9E1C30,#ffffff,#0B3B61,#3D893F,,
Lindsay Graham,2016,Republican,N,N,Y,Y,TRUE,Y,#D32027,#ffffff,#272462,,,
George Pataki,2016,Republican,N,N,Y,Y,TRUE,Y,#E11F26,#ffffff,#242055,#447DB1,,
Martin O'Malley,2016,Democratic,N,N,Y,Y,TRUE,Y,#FF3333,#ffffff,#0499CC,,,
Bernie Sanders,2016,Democratic,N,N,Y,Y,TRUE,Y,#f40634,#ffffff,#005f92,,,
Rick Santorum,2016,Republican,N,N,Y,Y,TRUE,Y,#EC0541,#ffffff,#0E244A,,,
Ben Carson,2016,Republican,N,N,N,Y,FALSE,Y,#d06041,#ffffff,#313b3b,#d0b268,#944a37,#336fa5
Mike Huckabee,2016,Republican,N,N,Y,Y,TRUE,Y,#D32B2E,#ffffff,#014E86,#F4BE28,,
Carly Fiorina,2016,Republican,N,N,Y,N,FALSE,Y,#D63232,#ffffff,"#1C263F,",#A7A8AC,,
Rand Paul,2016,Republican,N,N,Y,Y,TRUE,Y,#CC1A23,#ffffff,#07072D,,,
Marco Rubio,2016,Republican,N,N,N,Y,FALSE,Y,#C60F3B,#ffffff,#101D41,,,
Ted Cruz,2016,Republican,N,N,N,Y,FALSE,Y,#ED1A40,#ffffff,#005C94,#6D6E71,,
Mitt Romney,2012,Republican,Y,N,Y,Y,TRUE,Y,#A81933,#ffffff,#005294,,,
Barack Obama,2012,Democratic,Y,Y,N,Y,FALSE,Y,#CD0000,#ffffff,#0070A1,,,
Rick Perry,2012,Republican,N,N,Y,Y,TRUE,Y,#A32022,#ffffff,#11326D,,,
Thaddeus McCotter,2012,Republican,N,N,Y,Y,TRUE,Y,#FB534A,#ffffff,#2A4560,,,
Jon Huntsman,2012,Republican,N,N,Y,Y,TRUE,Y,#AD151D,#ffffff,,,,
Michele Bachmann,2012,Republican,N,N,Y,N,FALSE,Y,#911E26,#ffffff,#1A2575,,,
Rick Santorum,2012,Republican,N,N,Y,Y,TRUE,Y,#DA232B,#ffffff,#142D38,#818384,,
Tim Pawlenty,2012,Republican,N,N,Y,Y,TRUE,Y,#B51A1F,#ffffff,#1B2140,,,
Herman Cain,2012,Republican,N,N,N,Y,FALSE,Y,#EF252E,#ffffff,#172233,,,
Ron Paul,2012,Republican,N,N,Y,Y,TRUE,Y,#CC2B34,#ffffff,#003159,#0293CA,,
Newt Gingrich,2012,Republican,N,N,Y,Y,TRUE,Y,#E00001,#ffffff,#14263F,#A7AEB8,,
Gary Johnson,2012,Libertarian,N,N,Y,Y,TRUE,Y,#cc4238,#ffffff,#2b5e96,,,
Buddy Roemer,2012,Republican,N,N,Y,Y,TRUE,Y,#F22721,#ffffff,#6EACE3,#000000,,
Barack Obama,2008,Democratic,Y,Y,N,Y,FALSE,Y,#CE2324,#ffffff,#007DC4,#01255A,,
Bill Richardson,2008,Democratic,N,N,Y,Y,TRUE,Y,#C5112E,#ffffff,#0E0250,,,
Sam Brownback,2008,Republican,N,N,Y,Y,TRUE,Y,#DE1B2C,#ffffff,#01033C,,,
Chris Dodd,2008,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#121550,,,
Fred Thompson,2008,Republican,N,N,Y,Y,TRUE,N,,#ffffff,,#2F1B51,#CFAD6A,
Jim Gilmore,2008,Republican,N,N,Y,Y,TRUE,Y,#8D0506,#ffffff,#01213A,,,
Hillary Clinton,2008,Democratic,N,N,Y,N,FALSE,Y,#ED2D24,#ffffff,#003D7C,#027CC3,,
Mike Huckabee,2008,Republican,N,N,Y,Y,TRUE,Y,#AA1323,#ffffff,#001B4A,#C57B21,,
Duncan Hunter,2008,Republican,N,N,Y,Y,TRUE,Y,#D5191F,#ffffff,#01458C,,,
Joe Biden,2008,Democratic,N,N,Y,Y,TRUE,Y,#BE1A20,#ffffff,#242471,,,
John Edwards,2008,Democratic,N,N,Y,Y,TRUE,Y,#C42154,#ffffff,#0D74B3,#3EB56F,,
Dennis Kucinich,2008,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,#19306C,#EE5332,,
John McCain,2008,Republican,Y,N,Y,Y,TRUE,Y,#9C0000,#ffffff,#132F49,#D19408,,
Mitt Romney,2008,Republican,N,N,Y,Y,TRUE,Y,#CC0000,#ffffff,#000053,,,
Ron Paul,2008,Republican,N,N,Y,Y,TRUE,Y,#B60026,#ffffff,#0C166B,,,
Rudy Giuliani,2008,Republican,N,N,Y,Y,TRUE,Y,#E41A38,#ffffff,#003668,,,
Tom Tancredo,2008,Republican,N,N,Y,Y,TRUE,Y,#D91D3E,#ffffff,#005295,,,
Tommy Thompson,2008,Republican,N,N,Y,Y,TRUE,Y,#F20018,#ffffff,#03173C,,,
Tom Vilsack,2008,Democratic,N,N,Y,Y,TRUE,Y,#CC0000,#ffffff,#001032,,,
Al Sharpton,2004,Democratic,N,N,N,Y,FALSE,Y,#FF0000,#ffffff,,,,
Bob Graham,2004,Democratic,N,N,Y,Y,TRUE,Y,#D73030,#ffffff,#0C236A,#000000,,
George W. Bush,2004,Republican,Y,Y,Y,Y,TRUE,Y,#C80000,#ffffff,#00005C,,,
