name,year,party,wonPrimary,wonGeneral,white,male,whiteMale,RWB,redHex,whiteHex,blueHex,other1Hex,other2Hex,other3Hex
Carol Moseley Braun,2004,Democratic,N,N,N,N,FALSE,Y,#DB1742,#ffffff,#001FE8,,,
Dennis Kucinich,2004,Democratic,N,N,Y,Y,TRUE,Y,#E33A39,#ffffff,#1616A7,,,
Dick Gephardt,2004,Democratic,N,N,Y,Y,TRUE,Y,#DC0000,#ffffff,#00003C,,,
Howard Dean,2004,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,#005093,#E8CF20,,
Joe Lieberman,2004,Democratic,N,N,Y,Y,TRUE,Y,#F40200,#ffffff,#00018B,,,
John Edwards,2004,Democratic,N,N,Y,Y,TRUE,Y,#CA001C,#ffffff,#014184,,,
John Kerry,2004,Democratic,Y,N,Y,Y,TRUE,Y,#E10001,#ffffff,#161588,,,
Wesley Clark,2004,Democratic,N,N,Y,Y,TRUE,Y,#EE2F32,#ffffff,#002FA0,,,
Ralph Nader,2000,Green,Y,N,Y,Y,TRUE,N,,#ffffff,,#006531,#55A063,
John McCain,2000,Republican,N,N,Y,Y,TRUE,Y,#D50606,#ffffff,#000065,,,
Pat Buchanan,2000,Reform,N,N,Y,Y,TRUE,Y,#E32A3A,#ffffff,#004C84,,,
Bill Bradley,2000,Democratic,N,N,Y,Y,TRUE,Y,#D20000,#ffffff,#000078,,,
Alan Keyes,2000,Republican,N,N,N,Y,FALSE,Y,#DA0001,#ffffff,#00007B,,,
Al Gore,2000,Democratic,Y,N,Y,Y,TRUE,Y,#CA0003,#ffffff,#000377,,,
George W. Bush,2000,Republican,Y,N,Y,Y,TRUE,Y,#E04743,#ffffff,#101745,,,
Gary Bauer,2000,Republican,N,N,Y,Y,TRUE,Y,#EC0000,#ffffff,#000187,,,
Dan Quayle,2000,Republican,N,N,Y,Y,TRUE,Y,#DD0000,#ffffff,#000075,,,
Elizabeth Dole,2000,Republican,N,N,Y,N,FALSE,N,,#ffffff,#000074,#56DAFA,,
Steve Forbes,2000,Republican,N,N,Y,Y,TRUE,Y,#960000,#ffffff,#000396,,,
Lamar Alexander,2000,Republican,N,N,Y,Y,TRUE,N,#DB0506,#ffffff,,#000000,,
Pat Buchanan,2000,Republican,Y,N,Y,Y,TRUE,Y,#DF433F,#ffffff,#002C83,,,
John Kasich,2000,Republican,N,N,Y,Y,TRUE,Y,#9C1D24,#ffffff,#102476,,,
Bob Smith,2000,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#040C56,,,
Steve Forbes,1996,Republican,N,N,Y,Y,TRUE,N,,#ffffff,#453AE8,#F8F829,,
Richard Lugar,1996,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#082A63,#FFCD00,,
Bob Dornan,1996,Republican,N,N,Y,Y,TRUE,Y,#D00000,#ffffff,#010151,,,
Bob Dole,1996,Republican,Y,N,Y,Y,TRUE,Y,#9C0908,#ffffff,#3939DE,#170101,#8C8C8C,
Arlen Specter,1996,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#000072,,,
Alan Keyes,1996,Republican,N,N,N,Y,FALSE,N,,#ffffff,#000065,#FEF500,,
Pat Buchanan,1996,Republican,N,N,Y,Y,TRUE,Y,#E30100,#ffffff,#00005C,,,
Lamar Alexander,1996,Republican,N,N,Y,Y,TRUE,Y,#DC0404,#ffffff,,,,
Phil Gramm,1996,Republican,N,N,Y,Y,TRUE,N,,#ffffff,#0D1237,#7B88A7,,
Morry Taylor,1996,Republican,N,N,Y,Y,TRUE,Y,#DB0101,#ffffff,#010278,,,
Bill Clinton,1996,Democratic,Y,Y,Y,Y,TRUE,Y,#D70505,#ffffff,#14146F,#CCCCCC,,
Ross Perot,1996,Reform,Y,N,Y,Y,TRUE,Y,#DF412C,#ffffff,#002A9D,,,
Jerry Brown,1992,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#042E66,,,
Pat Buchanan,1992,Republican,N,N,Y,Y,TRUE,Y,#E30100,#ffffff,#00005C,,,
George H.W. Bush,1992,Republican,Y,N,Y,Y,TRUE,Y,#E10001,#ffffff,#011683,,,
Bill Clinton,1992,Democratic,Y,Y,Y,Y,TRUE,Y,#F20000,#ffffff,#04058D,,,
Bob Kerrey,1992,Democratic,N,N,Y,Y,TRUE,Y,#EC0000,#ffffff,#000187,#000000,,
Paul Tsongas,1992,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,#070544,#088D33,,
L. Douglas Wilder,1992,Democratic,N,N,Y,Y,TRUE,Y,#BD0400,#ffffff,#03047B,,,
Tom Harkin,1992,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#0E0F47,,,
Bob Dole,1988,Republican,N,N,Y,Y,TRUE,N,,,#000187,#FCDC00,,
George H.W. Bush,1988,Republican,Y,Y,Y,Y,TRUE,Y,#CC4135,#ffffff,#023F7B,,,
Jesse Jackson,1988,Democratic,N,N,N,Y,FALSE,Y,#B03122,#ffffff,,,,
Paul Simon,1988,Democratic,N,N,Y,Y,TRUE,Y,#CC4331,#ffffff,#003582,,,
Joe Biden,1988,Democratic,N,N,Y,Y,TRUE,Y,#C0463E,#ffffff,#133F91,,,
Mike Dukakis,1988,Democratic,Y,N,Y,Y,TRUE,Y,#DA422D,#ffffff,#002383,,,
Gary Hart,1988,Democratic,N,N,Y,Y,TRUE,Y,#D83D2E,#ffffff,#011762,,,
Al Gore,1988,Democratic,N,N,Y,Y,TRUE,Y,#E74E3F,#ffffff,#122C88,,,
Jack Kemp,1988,Republican,N,N,Y,Y,TRUE,Y,#E5422A,#ffffff,#10508C,,,
Dick Gephardt,1988,Democratic,N,N,Y,Y,TRUE,Y,#BC5643,#ffffff,#173878,#000000,,
Bruce Babbitt,1988,Democratic,N,N,Y,Y,TRUE,Y,#C23825,#ffffff,#022286,,,
Alexander M. Haig Jr.,1988,Republican,N,N,Y,Y,TRUE,Y,#DB422B,#ffffff,#002793,,,
Pete du Pont,1988,Republican,N,N,Y,Y,TRUE,N,#E05845,#ffffff,,#9A9A9A,,
Pat Robertson,1988,Republican,N,N,Y,Y,TRUE,Y,#CF3D28,#ffffff,#042083,,,
Alan Cranston,1984,Democratic,N,N,Y,Y,TRUE,Y,#783231,#ffffff,,,,
Gary Hart,1984,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,#00369C,#B3B3B3,,
Walter Mondale,1984,Democratic,Y,N,Y,Y,TRUE,Y,,#ffffff,#061966,,,
John Glenn,1984,Democratic,N,N,Y,Y,TRUE,Y,#CD0000,#ffffff,#00006A,,,
George McGovern,1984,Democratic,N,N,Y,Y,TRUE,Y,#EC4530,#ffffff,,,,
Reubin Askew,1984,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,,#E44F25,#3C271D,
Jesse Jackson,1984,Democratic,N,N,N,Y,FALSE,Y,#D20000,#ffffff,#0A0C64,#FFD700,,
Fritz Hollings,1984,Democratic,N,N,Y,Y,TRUE,Y,#CF4C43,#ffffff,#00338E,,,
Ronald Reagan,1984,Republican,Y,Y,Y,Y,TRUE,Y,#D31819,#ffffff,#2C418B,,,
Phil Crane,1980,Republican,N,N,Y,Y,TRUE,N,,,,#F4C819,#000000,
Bob Dole,1980,Republican,N,N,Y,Y,TRUE,Y,#ED462E,#ffffff,#1432B5,,,
Howard Baker,1980,Republican,N,N,Y,Y,TRUE,Y,#D30000,#ffffff,#000197,,,
Ted Kennedy,1980,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#000072,,,
Ronald Reagan,1980,Republican,Y,Y,Y,Y,TRUE,Y,,#ffffff,#0C1E78,,,
John B. Anderson,1980,Independent,Y,N,Y,Y,TRUE,N,#D41514,#ffffff,,#000000,,
John Connally,1980,Republican,N,N,Y,Y,TRUE,N,#F12A18,#ffffff,,#000000,,
George Bush,1980,Republican,N,N,Y,Y,TRUE,Y,#CD4332,#ffffff,#001F8E,#000000,,
Jimmy Carter,1980,Democratic,Y,N,Y,Y,TRUE,N,,#ffffff,,#1F7D52,,
Eugene J. McCarthy,1976,Independent,Y,N,Y,Y,TRUE,Y,,#ffffff,#1A43B9,,,
Fred Harris,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#202879,,,
Mo Udall,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#000186,,,
Franklin Church,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#1331B2,,,
George Wallace,1976,Democratic,N,N,Y,Y,TRUE,Y,#EF0003,#ffffff,#0002CB,#000000,,
Sargent Shriver,1976,Democratic,N,N,Y,Y,TRUE,Y,#EA452E,#ffffff,,,,
Henry M. Jackson,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#030364,,,
Jimmy Carter,1976,Democratic,Y,Y,Y,Y,TRUE,N,,#ffffff,,#267927,,
Gerald Ford,1976,Republican,Y,N,Y,Y,TRUE,Y,,#ffffff,#0B2CA0,,,
Ronald Reagan,1976,Republican,N,N,Y,Y,TRUE,Y,#D20000,#ffffff,#000188,,,
Lloyd Bentsen,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#258FD6,,,
Birch Bayh,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#134ECF,,,
Robert C. Byrd,1976,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#03036A,,,
Terry Sanford,1976,Democratic,N,N,Y,Y,TRUE,Y,#E10001,#ffffff,#000078,,,
Jerry Brown,1976,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,,#6B3E39,,
Milton Shapp,1976,Democratic,N,N,Y,Y,TRUE,Y,#E3584D,#ffffff,#0F45B1,,,
Vance Hartke,1972,Democratic,N,N,Y,Y,TRUE,Y,#EC0003,#ffffff,,,,
Fred Harris,1972,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,#061B6F,#FEF834,,
Eugene J. McCarthy,1972,Democratic,N,N,Y,Y,TRUE,N,,#ffffff,,#333333,,
George McGovern,1972,Democratic,N,N,Y,Y,TRUE,Y,,#ffffff,#061966,,,
John Ashbrook,1972,Republican,N,N,Y,Y,TRUE,Y,#ED462E,#ffffff,#1438C5,#000000,,
John Lindsay,1972,Democratic,N,N,Y,Y,TRUE,Y,#EC0003,#ffffff,#030367,,,
George Wallace,1972,Democratic,N,N,Y,Y,TRUE,Y,#FF6654,#ffffff,#083FAA,,,
Hubert Humphrey,1972,Democratic,N,N,Y,Y,TRUE,Y,#C93B27,#ffffff,#051864,,,
Henry M. Jackson,1972,Democratic,N,N,Y,Y,TRUE,Y,#DC0402,#ffffff,#0305AC,,,
Harold Hughes,1972,Democratic,N,N,Y,Y,TRUE,Y,#DB4438,#ffffff,#337FA9,#000000,,
Shirley Chisholm,1972,Democratic,N,N,N,N,FALSE,N,#85271E,#ffffff,,#000000,,
Pete McCloskey,1972,Republican,N,N,Y,Y,TRUE,Y,#FF0302,#ffffff,#030359,,,
Ralph Yarborough,1972,Democratic,N,N,Y,Y,TRUE,Y,#EF0405,#ffffff,#030587,,,
George McGovern,1972,Democratic,Y,N,Y,Y,TRUE,Y,,#ffffff,#030474,,,
Wilbur Mills,1972,Democratic,N,N,Y,Y,TRUE,Y,#D83F2A,#ffffff,#0C2489,,,
Edmund Muskie,1972,Democratic,N,N,Y,Y,TRUE,N,,,,#EE6331,#461E63,
Sam Yorty,1972,Democratic,N,N,Y,Y,TRUE,Y,#EC4530,#ffffff,#112DA4,,,
Richard Nixon,1972,Republican,Y,Y,Y,Y,TRUE,Y,#F41101,#ffffff,#010283,,,
Hubert Humphrey,1968,Democratic,Y,N,Y,Y,TRUE,Y,#DA3F2B,#ffffff,#061E78,,,
George Wallace,1968,Independent,Y,N,Y,Y,TRUE,Y,#FF5E4D,,#1F2E63,,,
Nelson Rockefeller,1968,Republican,N,N,Y,Y,TRUE,Y,,#ffffff,#030473,,,
Richard Nixon,1968,Republican,Y,Y,Y,Y,TRUE,Y,#D23C29,#ffffff,,,,
Robert F. Kennedy,1968,Democratic,N,N,Y,Y,TRUE,Y,#EC4530,#ffffff,#0D258B,,,
George W. Romney,1968,Republican,N,N,Y,Y,TRUE,Y,#ED4530,#ffffff,#071F79,,,
Eugene J. McCarthy,1968,Republican,N,N,Y,Y,TRUE,N,,#ffffff,#2A1D70,#7CB7D6,,
